#{"t_start": 1620262037.377414, "env_id": null}
r,l,t
142.559998,5,22.336811
122.559998,5,58.018957
142.559998,5,101.391251
142.559998,5,157.25759
142.559998,5,222.169254
142.559998,5,277.054113
142.559998,5,346.834086
142.559998,5,422.762996
142.559998,5,513.045079
142.559998,5,581.817081
142.559998,5,683.07941
142.559998,5,737.631511
142.559998,5,825.91544
80.68,5,833.404963
142.559998,5,869.27704
142.559998,5,938.097054
142.559998,5,997.099358
142.559998,5,1090.419218
40.0,5,1095.576998
