#{"t_start": 1620262060.38533, "env_id": null}
r,l,t
60.0,5,4.099479
70.0,5,10.795042
70.0,5,18.054527
70.0,5,26.123887
70.0,5,32.737918
70.0,5,39.194267
70.0,5,46.615463
70.0,5,53.76541
87.0,5,63.334211
70.0,5,70.896045
87.0,5,83.233566
70.0,5,91.909447
70.0,5,100.699017
70.0,5,110.47426
70.0,5,119.266222
70.0,5,127.814276
70.0,5,135.439655
70.0,5,143.132734
70.0,5,150.877042
87.0,5,166.265155
87.0,5,178.619414
70.0,5,186.987267
70.48,5,208.318304
70.0,5,215.936526
70.0,5,224.650475
87.0,5,240.602195
70.0,5,249.316263
60.0,5,257.164328
70.0,5,265.170718
87.0,5,277.701747
70.0,5,286.285803
70.0,5,295.319714
70.0,5,304.326328
70.0,5,313.918132
70.0,5,323.399454
70.0,5,333.134013
87.0,5,345.996696
70.0,5,355.341476
70.0,5,363.862282
70.0,5,372.152078
87.0,5,387.553908
70.0,5,397.317325
87.0,5,413.630175
70.74,5,426.403186
70.0,5,436.255511
87.0,5,452.22433
87.0,5,468.260903
70.0,5,477.548452
70.0,5,488.008832
70.0,5,497.161088
70.0,5,505.970784
87.0,5,522.096404
87.0,5,535.097457
70.0,5,543.950163
70.0,5,553.399024
87.0,5,567.311804
70.0,5,577.786292
70.0,5,587.008251
70.0,5,596.912583
87.0,5,613.609425
70.0,5,623.02458
70.0,5,630.941878
70.0,5,640.826724
70.0,5,649.874958
70.0,5,658.179668
70.540001,5,672.304634
70.0,5,680.431284
70.0,5,690.376977
70.0,5,699.760142
70.0,5,708.167341
87.0,5,724.738057
70.0,5,734.26347
70.0,5,743.911726
87.0,5,760.246312
70.0,5,768.666323
70.0,5,777.910248
70.0,5,788.087963
87.0,5,805.015339
70.0,5,814.037247
70.0,5,824.034519
70.0,5,832.805832
70.0,5,843.00615
70.0,5,851.466347
70.0,5,860.783848
87.0,5,877.352527
70.0,5,885.659656
87.0,5,898.611538
70.0,5,907.316502
70.0,5,916.922008
70.0,5,926.321798
70.0,5,936.483948
70.0,5,946.910372
149.919998,5,973.971779
70.0,5,983.783831
70.0,5,994.127432
87.0,5,1007.325276
87.0,5,1021.041022
70.0,5,1031.143268
87.0,5,1045.143189
70.0,5,1056.190806
70.0,5,1066.277079
87.0,5,1082.665439
70.0,5,1092.56498
70.0,5,1103.465288
87.0,5,1120.316617
70.0,5,1129.745606
70.0,5,1138.888862
70.0,5,1150.262041
70.48,5,1186.843902
70.0,5,1197.475617
70.0,5,1207.479119
70.0,5,1218.000535
70.0,5,1227.483921
70.0,5,1237.552179
70.0,5,1246.674659
70.0,5,1256.072865
70.0,5,1265.333351
87.0,5,1278.807501
70.0,5,1289.344235
70.0,5,1300.691331
70.0,5,1310.464905
70.0,5,1321.506107
70.0,5,1331.863098
70.0,5,1340.631737
70.0,5,1350.673923
70.0,5,1360.060668
87.0,5,1379.980043
70.0,5,1389.665533
70.0,5,1399.094399
87.0,5,1415.066887
70.0,5,1425.345068
87.0,5,1442.074265
70.0,5,1451.825582
70.0,5,1461.547915
70.0,5,1471.908247
70.0,5,1481.493819
